timestamp,run_id,prompt_version,model,thinking,article_id,input_tokens,output_tokens,duration_seconds,status,fallback_used,validation_error
2026-05-22T01:33:45.045356+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520101500-1164,1571,1024,23.25,parse_error,False,Expecting value: line 1 column 1 (char 0)
2026-05-22T01:33:57.775306+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240608021500-87,1588,613,13.77,ok,False,
2026-05-22T01:33:54.724149+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240616184500-527,1622,785,18.448,ok,False,
2026-05-22T01:34:00.874404+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240606151500-1908,1610,689,14.51,ok,False,
2026-05-22T01:34:00.106811+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240606183000-5,1634,632,15.808,ok,False,
2026-05-22T01:34:03.816381+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240610133000-1265,1599,1024,17.01,parse_error,False,Expecting value: line 1 column 1 (char 0)
2026-05-22T01:34:13.173552+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240624123000-1202,1616,534,11.254,ok,False,
2026-05-22T01:34:07.650825+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240620054500-910,1609,641,16.981,ok,False,
2026-05-22T01:34:10.296787+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520101500-1164,1571,777,16.908,ok,False,
2026-05-22T01:34:15.384980+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240622100000-420,1670,595,13.042,ok,False,
2026-05-22T01:34:05.602220+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240628073000-449,1606,861,24.175,ok,False,
2026-05-22T01:34:15.915903+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240626204500-351,1600,591,14.352,ok,False,
2026-05-22T01:34:11.546402+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240620144500-1015,1578,562,19.201,ok,False,
2026-05-22T01:34:30.747847+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240508164500-556,1648,757,4.157,ok,False,
2026-05-22T01:34:21.827384+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240610133000-1265,1599,596,14.178,ok,False,
2026-05-22T01:34:28.428402+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520130000-1544,1620,516,9.144,ok,False,
2026-05-22T01:34:24.632819+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240515073000-153,1588,648,13.248,ok,False,
2026-05-22T01:34:24.428376+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520164500-870,1613,621,15.001,ok,False,
2026-05-22T01:34:30.268851+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240517160000-1244,1631,689,12.34,ok,False,
2026-05-22T01:34:34.905937+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240503010000-267,1606,397,9.574,ok,False,
2026-05-22T01:34:29.777745+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240517181500-1725,1580,712,15.885,ok,False,
2026-05-22T01:34:27.206077+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240520124500-304,1621,633,20.085,ok,False,
2026-05-22T01:34:37.881411+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240513100000-568,1655,570,10.156,ok,False,
2026-05-22T01:34:45.663765+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240531094500-623,1581,754,3.244,ok,False,
2026-05-22T01:34:47.291981+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240531100000-1152,1623,630,3.566,ok,False,
2026-05-22T01:34:39.430676+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240513053000-683,1608,527,11.542,ok,False,
2026-05-22T01:34:36.005971+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240509180000-898,1579,727,15.635,ok,False,
2026-05-22T01:34:37.573187+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240429033000-863,1565,759,16.8,ok,False,
2026-05-22T01:34:42.609707+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240604100000-318,1569,683,13.212,ok,False,
2026-05-22T01:34:44.480613+00:00,eval_v3_minimax-m2-7,v3,minimax/minimax-m2.7,False,20240602220000-723,1586,646,12.225,ok,False,
